date,gmv,orders,customers,items_sold,total_revenue,page_views,visitors,conversion_rate,average_order_value
2026-04-01,6636.75,17,16,17,7488.46,769,530,0.0302,390.4
2026-04-02,12924.3,42,37,48,15996.54,1464,1088,0.034,300.57
2026-04-03,10588.09,33,33,34,12922.34,1088,759,0.0435,320.85
2026-04-04,14649.59,44,44,46,18222.1,1015,723,0.0609,318.47
2026-04-05,5787.26,21,20,21,7324.45,681,525,0.0381,275.58
2026-04-06,5849.36,25,25,25,7383.94,688,507,0.0493,233.97
2026-04-07,6494.57,18,18,19,7837.96,571,422,0.0427,360.81
2026-04-08,8736.09,23,20,25,9914.8,684,533,0.0375,379.83
2026-04-09,3199.97,12,12,12,4027.8,462,354,0.0339,266.66
2026-04-10,5767.6,22,22,25,7125.66,798,516,0.0426,250.77
2026-04-11,6885.78,20,20,22,7911.59,505,347,0.0576,312.99
2026-04-12,225.82,1,1,1,311.76,55,34,0.0294,225.82
2026-04-13,2679.56,6,6,6,2886.57,235,165,0.0364,446.59
2026-04-14,7466.7,21,19,21,7751.73,520,311,0.0611,355.56
2026-04-15,4900.24,12,12,13,5308.43,395,267,0.0449,376.94
2026-04-16,3062.14,10,10,10,3249.55,328,239,0.0418,306.21
2026-04-17,2634.82,11,11,12,2833.06,409,223,0.0493,239.53
2026-04-18,2600.41,8,8,9,2894.38,301,208,0.0385,325.05
2026-04-19,5171.5,14,14,14,5487.98,386,255,0.0549,369.39
2026-04-20,3582.93,11,10,12,4156.22,393,249,0.0402,325.72
2026-04-21,7947.44,22,20,24,8559.23,511,326,0.0613,361.25
2026-04-22,3907.69,10,10,10,4194.43,324,215,0.0465,390.77
2026-04-23,7309.65,21,18,21,7845.2,510,304,0.0592,348.08
2026-04-24,9314.24,23,21,24,9839.59,443,313,0.0671,404.97
2026-04-25,8267.54,23,22,23,9365.51,469,323,0.0681,359.46
2026-04-26,7067.04,20,18,21,7903.66,509,323,0.0557,353.35
2026-04-27,16982.3,39,39,43,19609.98,907,642,0.0607,414.2
2026-04-28,14850.43,39,37,40,16583.1,1451,940,0.0394,380.78
2026-04-29,9040.49,39,38,43,9872.2,1040,645,0.0589,231.81
2026-04-30,16693.91,63,59,65,18846.37,1734,1175,0.0502,264.98
