date,total_revenue,gmv,orders,customers,average_order_value,conversion_rate
2026-05-29,21848.5,18850.04,54,52,349.07,0.0908
2026-05-28,21490.4,18119.17,44,43,393.9,0.0728
2026-05-05,19862.07,16860.99,41,37,401.45,0.0769
2026-04-27,19609.98,16982.3,39,39,414.2,0.0607
2026-06-25,19558.02,16981.23,49,47,346.56,0.0802
2026-05-27,19492.92,16853.18,55,51,300.95,0.0701
2026-04-30,18846.37,16693.91,63,59,264.98,0.0502
2026-04-04,18222.1,14649.59,44,44,318.47,0.0609
2026-05-26,18148.9,15764.37,44,41,350.32,0.0854
2026-06-23,16890.37,14382.07,37,35,388.7,0.0648
